Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
60,"GN Oliveira, JL Sotomayor, RP Torchelsen, ...",Visual analysis of bike-sharing systems,2016,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300991,"https://scholar.google.com/scholar?cites=17955021272781709505&as_sdt=2005&sciodt=0,5&hl=en",91,2025-02-16 20:07:31,,,,,,,,,60,6.67,15,4,9,"Bike-sharing systems are a popular mode of public transportation, increasing in number and size around the world. Public bike-sharing systems attend to the needs of a large number of …",,"https://scholar.google.com/scholar?q=related:wWC8wrcMLfkJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
23,"X Liu, L Liu, W Song, Y Liu, L Ma",Shape context based mesh saliency detection and its applications: A survey,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300140,"https://scholar.google.com/scholar?cites=4024703455044069198&as_sdt=2005&sciodt=0,5&hl=en",100,2025-02-16 20:07:31,,,,,,,,,23,2.56,5,5,9,"Mesh saliency was introduced and joined the community of computer graphics ten years ago, which can benefit various applications, for instance, mesh reduction, mesh …",http://staff.ustc.edu.cn/~lgliu/Publications/Publications/2016_C&G_SaliencySurvey.pdf,"https://scholar.google.com/scholar?q=related:Tmcw9Hee2jcJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
34,"A Carlier, K Leonard, S Hahmann, G Morin, ...",The 2d shape structure dataset: A user annotated open access database,2016,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300528,"https://scholar.google.com/scholar?cites=4551791702812986607&as_sdt=2005&sciodt=0,5&hl=en",101,2025-02-16 20:07:31,,,,,,,,,34,3.78,7,5,9,"In this paper we present the 2D Shape Structure database, a public, user-generated dataset of 2D shape decompositions into a hierarchy of shape parts with geometric relationships …",https://www.sciencedirect.com/science/article/am/pii/S0097849316300528,"https://scholar.google.com/scholar?q=related:7wy98W82Kz8J:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
37,"A Bera, S Kim, D Manocha",Online parameter learning for data-driven crowd simulation and content generation,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001703,"https://scholar.google.com/scholar?cites=10171806246220090776&as_sdt=2005&sciodt=0,5&hl=en",116,2025-02-16 20:07:31,,,,,,,,,37,4.11,12,3,9,We present an online parameter learning algorithm for data-driven crowd simulation and crowd content generation. Our formulation is based on incrementally learning pedestrian …,,"https://scholar.google.com/scholar?q=related:mE0MbuODKY0J:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
34,"GG Zanabria, LG Nonato, E Gomez-Nieto",iStar (i*): An interactive star coordinates approach for high-dimensional data exploration,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316301054,"https://scholar.google.com/scholar?cites=3285059917201191783&as_sdt=2005&sciodt=0,5&hl=en",119,2025-02-16 20:07:31,,,,,,,,,34,3.78,11,3,9,Star Coordinates is an important visualization method able to reveal patterns and groups from multidimensional data while still showing the impact of data attributes in the formation …,http://visualdslab.com/static/files/papers/2016-IStar-SIBGRAPI.pdf,"https://scholar.google.com/scholar?q=related:Z7Om9pbgli0J:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
36,"N Pelechano, C Fuentes",Hierarchical path-finding for Navigation Meshes (HNA�?�),2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300668,"https://scholar.google.com/scholar?cites=15192984534887356255&as_sdt=2005&sciodt=0,5&hl=en",124,2025-02-16 20:07:31,,,,,,,,,36,4.0,18,2,9,Path-finding can become an important bottleneck as both the size of the virtual environments and the number of agents navigating them increase. It is important to develop techniques …,https://upcommons.upc.edu/bitstream/handle/2117/98738/Pelechano_HNAstar_prePrint.pdf?sequence=6,"https://scholar.google.com/scholar?q=related:X9f2R_BS2NIJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
22,"SVG Magalhães, MVA Andrade, WR Franklin, W Li",PinMesh—fast and exact 3D point location queries using a uniform grid,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300607,"https://scholar.google.com/scholar?cites=5241622172472502100&as_sdt=2005&sciodt=0,5&hl=en",145,2025-02-16 20:07:31,,,,,,,,,22,2.44,6,4,9,"This paper presents PinMesh, a very fast algorithm with implementation to preprocess a polyhedral mesh, also known as a multi-material mesh, in order to perform 3D point location …",https://www.sciencedirect.com/science/article/am/pii/S0097849316300607,"https://scholar.google.com/scholar?q=related:VOcINZj7vUgJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
26,"P von Radziewsky, E Eisemann, HP Seidel, ...",Optimized subspaces for deformation-based modeling and shape interpolation,2016,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300590,"https://scholar.google.com/scholar?cites=6503628732881263006&as_sdt=2005&sciodt=0,5&hl=en",153,2025-02-16 20:07:31,,,,,,,,,26,2.89,7,4,9,We propose a novel construction of subspaces for real-time deformation-based modeling and shape interpolation. The scheme constructs a subspace that optimally approximates the …,https://graphics.tudelft.nl/~klaus/papers/optimizedSubspaces.pdf,"https://scholar.google.com/scholar?q=related:nllp9t-HQVoJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
25,"J Fišer, P Asente, S Schiller, D Sýkora",Advanced drawing beautification with shipshape,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300127,"https://scholar.google.com/scholar?cites=8924774473514427584&as_sdt=2005&sciodt=0,5&hl=en",178,2025-02-16 20:07:31,,,,,,,,,25,2.78,6,4,9,"Sketching is one of the simplest ways to visualize ideas. Its key advantage is its easy availability and accessibility, as it require the user to have neither deep knowledge of a …",https://dcgi.fel.cvut.cz/home/sykorad/Fiser16-CAG.pdf,"https://scholar.google.com/scholar?q=related:wCRNIhkr23sJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
25,"M Li, H Leung, Z Liu, L Zhou",3D human motion retrieval using graph kernels based on adaptive graph construction,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001089,"https://scholar.google.com/scholar?cites=16051367760800599859&as_sdt=2005&sciodt=0,5&hl=en",180,2025-02-16 20:07:31,,,,,,,,,25,2.78,6,4,9,"Graphs are frequently used to provide a powerful representation for structured data. However, it is still a challenging task to model 3D human motions due to its large spatio …",,"https://scholar.google.com/scholar?q=related:M0-tRe_pwd4J:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
23,"M Kanzler, F Ferstl, R Westermann",Line density control in screen-space via balanced line hierarchies,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300899,"https://scholar.google.com/scholar?cites=10922190072335105930&as_sdt=2005&sciodt=0,5&hl=en",181,2025-02-16 20:07:31,,,,,,,,,23,2.56,8,3,9,"For the visualization of dense sets of 3D lines, view-dependent approaches have been proposed to avoid the occlusion of important structures. Popular concepts consider global …",,"https://scholar.google.com/scholar?q=related:iv_UpgBqk5cJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
21,"R Prévost, A Jacobson, W Jarosz, ...",Large-scale painting of photographs by interactive optimization,2016,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S009784931500182X,"https://scholar.google.com/scholar?cites=14552622702562913102&as_sdt=2005&sciodt=0,5&hl=en",191,2025-02-16 20:07:31,,,,,,,,,21,2.33,5,4,9,"We propose a system for painting large-scale murals of arbitrary input photographs. To that end, we choose spray paint, which is easy to use and affordable, yet requires skill to create …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8853549526bf0220d4327ecbf755fe371bf045d7,"https://scholar.google.com/scholar?q=related:TiuMsD5N9ckJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
17,"Y Yuan, R Wang, J Huang, Y Jia, H Bao",Simplified and tessellated mesh for realtime high quality rendering,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001144,"https://scholar.google.com/scholar?cites=4200882870082475421&as_sdt=2005&sciodt=0,5&hl=en",193,2025-02-16 20:07:31,,,,,,,,,17,1.89,3,5,9,"Many applications require manipulation and visualization of complex and highly detailed models at realtime. In this paper, we present a new mesh process and rendering method for …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=9d9549721a04a8b7d3d316d401d0df10dbd5ef6d,"https://scholar.google.com/scholar?q=related:nRVKjraITDoJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
24,"CJ Sutherland, A Luxton-Reilly, B Plimmer",Freeform digital ink annotations in electronic documents: A systematic mapping study,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001818,"https://scholar.google.com/scholar?cites=3637372736299276870&as_sdt=2005&sciodt=0,5&hl=en",195,2025-02-16 20:07:31,,,,,,,,,24,2.67,8,3,9,A variety of different approaches have been used to add digital ink annotations to text-based documents. While the majority of research in this field has focused on annotation support for …,https://www.cs.auckland.ac.nz/~beryl/publications/CGraphics%202016%20Freeform%20Digital%20Ink%20Annotations.pdf,"https://scholar.google.com/scholar?q=related:RhrPZjuLejIJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
24,"TF Stahovich, H Lin",Enabling data mining of handwritten coursework,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300012,"https://scholar.google.com/scholar?cites=12275783749526365220&as_sdt=2005&sciodt=0,5&hl=en",197,2025-02-16 20:07:31,,,,,,,,,24,2.67,12,2,9,"Data mining has become an increasingly important tool for education researchers and practitioners. However, work in this field has focused on data from online educational …",https://www.sciencedirect.com/science/article/am/pii/S0097849316300012,"https://scholar.google.com/scholar?q=related:JCQIwkdYXKoJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
28,"R Roberto, JP Lima, V Teichrieb",Tracking for mobile devices: A systematic mapping study,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300115,"https://scholar.google.com/scholar?cites=12284576908631080391&as_sdt=2005&sciodt=0,5&hl=en",205,2025-02-16 20:07:31,,,,,,,,,28,3.11,9,3,9,"Tracking is an important task that is used for several applications, such as navigation assistance and augmented reality. The improvement and popularization of mobile devices in …",https://cin.ufpe.br/~rar3/uploads/2/0/3/5/20356759/cag2016.pdf,"https://scholar.google.com/scholar?q=related:x_3rppyVe6oJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
23,"L Chen, L Sass",Fresh press modeler: A generative system for physically based low fidelity prototyping,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001065,"https://scholar.google.com/scholar?cites=1722454245723395665&as_sdt=2005&sciodt=0,5&hl=en",207,2025-02-16 20:07:31,,,,,,,,,23,2.56,12,2,9,"For designers, digital manufacturing machines, such as laser cutters and CNC machines, support rapid prototyping of low-cost, low fidelity physical models. These machines can be …",,"https://scholar.google.com/scholar?q=related:UdY0sgJj5xcJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
24,"EM Taranta II, AN Vargas, JJ LaViola Jr",Streamlined and accurate gesture recognition with Penny Pincher,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001788,"https://scholar.google.com/scholar?cites=6296862193366322348&as_sdt=2005&sciodt=0,5&hl=en",210,2025-02-16 20:07:31,,,,,,,,,24,2.67,8,3,9,"Penny Pincher is a recently introduced template matching $-family gesture recognizer that exhibits competitive accuracy with even just one template. However, our recognizer is also …",https://www.sciencedirect.com/science/article/am/pii/S0097849315001788,"https://scholar.google.com/scholar?q=related:rMwve83yYlcJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
14,"T Larsson, G Capannini, L Källberg",Parallel computation of optimal enclosing balls by iterative orthant scan,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300024,"https://scholar.google.com/scholar?cites=15504164440393151035&as_sdt=2005&sciodt=0,5&hl=en",238,2025-02-16 20:07:31,,,,,,,,,14,1.56,5,3,9,We propose an algorithm for computing the exact minimum enclosing ball of large point sets in general dimensions. It aims to reduce the number of passes by retrieving a well-balanced …,,"https://scholar.google.com/scholar?q=related:O3Lg-GnbKdcJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
13,"YJ Huang, SY Chan, WC Lin, SY Chuang",Making and animating transformable 3D models,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S009784931500117X,"https://scholar.google.com/scholar?cites=886901860561792860&as_sdt=2005&sciodt=0,5&hl=en",239,2025-02-16 20:07:31,,,,,,,,,13,1.44,3,4,9,"Transformable models are 3D models whose shapes can be changed by rotating or translating their component parts. They have a variety of applications in our daily lives, being …",,"https://scholar.google.com/scholar?q=related:XC9rDYvoTgwJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
19,K Ramani,Extracting hand grasp and motion for intent expression in mid-air shape deformation: A concrete and iterative exploration through a virtual pottery application,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S009784931500179X,"https://scholar.google.com/scholar?cites=2349307075955079920&as_sdt=2005&sciodt=0,5&hl=en",243,2025-02-16 20:07:31,,,,,,,,,19,2.11,19,1,9,We describe the iterative design and evaluation of a geometric interaction technique for bare-hand mid-air virtual pottery. We model the shaping of a pot as a gradual and progressive …,https://www.sciencedirect.com/science/article/am/pii/S009784931500179X,"https://scholar.google.com/scholar?q=related:8DqdolZqmiAJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
19,"C Peng, S Timalsena",Fast mapping and morphing for genus-zero meshes with cross spherical parameterization,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300681,"https://scholar.google.com/scholar?cites=11505491077077331980&as_sdt=2005&sciodt=0,5&hl=en",246,2025-02-16 20:07:31,,,,,,,,,19,2.11,10,2,9,We introduce an efficient approach to establish surface correspondences between genus-zero triangle meshes and animate a morph between them. We employ the concept of mesh …,https://www.sciencedirect.com/science/article/am/pii/S0097849316300681,"https://scholar.google.com/scholar?q=related:DPCeBy23q58J:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
18,"Y Yoshiyasu, E Yoshida, L Guibas",Symmetry aware embedding for shape correspondence,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300826,"https://scholar.google.com/scholar?cites=14021807411026518351&as_sdt=2005&sciodt=0,5&hl=en",252,2025-02-16 20:07:31,,,,,,,,,18,2.0,6,3,9,"In this paper, we present symmetry-aware embedding for shape correspondence, which is robust against symmetric (left–right) flips and rotational (front–back) flips. Unlike previous …",https://www.researchgate.net/profile/Yusuke_Yoshiyasu/publication/305750848_Symmetry_Aware_Embedding_for_Shape_Correspondence/links/59fd2ac1a6fdcca1f297e559/Symmetry-Aware-Embedding-for-Shape-Correspondence.pdf,"https://scholar.google.com/scholar?q=related:T-Ess4x3l8IJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
16,"J Tao, X Huang, F Qiu, C Wang, J Jiang, CK Shene, ...",VesselMap: A web interface to explore multivariate vascular data,2016,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S009784931630067X,"https://scholar.google.com/scholar?cites=9942216819709685664&as_sdt=2005&sciodt=0,5&hl=en",254,2025-02-16 20:07:31,,,,,,,,,16,1.78,2,7,9,"Hemodynamics plays a key role in the pathological evolution of vascular diseases such as vascular stenosis, plaques and aneurysms. Augmented visualization of relevant …",https://www.sciencedirect.com/science/article/am/pii/S009784931630067X,"https://scholar.google.com/scholar?q=related:oK-1eoXZ-YkJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
17,"PC Ribeiro, HF de Campos Velho, H Lopes",Helmholtz–Hodge decomposition and the analysis of 2D vector field ensembles,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316000029,"https://scholar.google.com/scholar?cites=13912624761801572017&as_sdt=2005&sciodt=0,5&hl=en",255,2025-02-16 20:07:31,,,,,,,,,17,1.89,6,3,9,Abstract The Helmholtz–Hodge decomposition is a very useful instrument for vector field interpretation because it traditionally distinguishes conservative (curl-free) components from …,,"https://scholar.google.com/scholar?q=related:sX58NIKSE8EJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
17,"T Stanko, S Hahmann, GP Bonneau, ...",Surfacing curve networks with normal control,2016,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300814,"https://scholar.google.com/scholar?cites=10608301447528669225&as_sdt=2005&sciodt=0,5&hl=en",256,2025-02-16 20:07:31,,,,,,,,,17,1.89,4,4,9,Recent surface acquisition technologies based on microsensors produce three-space tangential curve data which can be transformed into a network of space curves with surface …,https://inria.hal.science/hal-01342465/file/paper.pdf,"https://scholar.google.com/scholar?q=related:KWA1GvZBOJMJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
17,"Z Huang, T Ju",Extrinsically smooth direction fields,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300589,"https://scholar.google.com/scholar?cites=8186067200265151033&as_sdt=2005&sciodt=0,5&hl=en",257,2025-02-16 20:07:31,,10.1016/j.cag.2016.05.015,,,,,,,17,1.89,9,2,9,"We consider the problem of finding a unit vector field (ie, a direction field) over a domain that balances two competing objectives, smoothness and conformity to the shape of the domain …",https://adshhzy.github.io/projectfolder/ESDF/extrinsic.pdf,"https://scholar.google.com/scholar?q=related:OeJHO7_AmnEJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
11,"X Liu, JG Rokne",Depth of field synthesis from sparse views,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001831,"https://scholar.google.com/scholar?cites=6554897392506290182&as_sdt=2005&sciodt=0,5&hl=en",265,2025-02-16 20:07:31,,,,,,,,,11,1.22,6,2,9,Computer generated images are most easily generated as pinhole images whereas images obtained with optical lenses exhibit a Depth-of-Field (DOF) effect. This is due to the fact that …,,"https://scholar.google.com/scholar?q=related:BsB4-3Ks91oJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
12,"H Pflüger, T Ertl",Sifting through visual arts collections,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S009784931630022X,"https://scholar.google.com/scholar?cites=17427894283086569672&as_sdt=2005&sciodt=0,5&hl=en",267,2025-02-16 20:07:31,,,,,,,,,12,1.33,6,2,9,"We introduce a visualization system for large image sets which combines a distance function, a clustering and a projection method. The distance function, the clustering and the …",,"https://scholar.google.com/scholar?q=related:yKBvdoNR3PEJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
